Model Name,Brand,Processor,RAM,Storage,Display,Operating System,Color,Body Type,Weight,Warranty,Price (BDT)
Apple MacBook Air M1,Apple,Intel Core i7 13th Gen,12GB,512GB SSD,"17"" FHD",Chrome OS,Gray,Plastic,2.00kg,1 Year,246436
Lenovo IdeaPad Slim 3,Lenovo,Apple M1,32GB,256GB SSD,"13.3"" FHD",Chrome OS,White,Magnesium Alloy,1.40kg,1 Year,232663
Acer Aspire 5,Acer,Intel Core i3 11th Gen,12GB,256GB SSD,"16"" QHD",macOS Ventura,Black,Carbon Fiber,1.40kg,2 Years,94823
Walton Tamarind EX10,Walton,Intel Core i9 13th Gen,12GB,512GB SSD,"15.6"" FHD",Chrome OS,White,Magnesium Alloy,0.99kg,3 Years,203477
Apple MacBook Pro M2,Apple,Intel Core i5 12th Gen,4GB,1TB SSD,"14"" FHD",Windows 11,Silver,Plastic,1.75kg,2 Years,184372
HP Pavilion 15,HP,Intel Core i3 11th Gen,8GB,256GB SSD,"13.3"" FHD",Windows 11,White,Plastic,2.00kg,3 Years,60701
HP Pavilion 15,HP,Intel Core i7 13th Gen,16GB,256GB SSD,"15.6"" FHD",Windows 10,Blue,Aluminum,1.75kg,3 Years,86793
MSI GF63 Thin,MSI,Intel Core i7 13th Gen,8GB,512GB SSD,"13.3"" FHD",Chrome OS,Gray,Plastic,0.99kg,3 Years,184268
Lenovo IdeaPad Slim 3,Lenovo,Intel Core i7 13th Gen,16GB,512GB SSD,"13.3"" FHD",Windows 11,White,Plastic,1.40kg,2 Years,163411
MSI GF63 Thin,MSI,AMD Ryzen 5 5500U,12GB,1TB SSD,"14"" FHD",Chrome OS,Silver,Metal,1.25kg,2 Years,94414
HP Victus 15,HP,Intel Core i5 12th Gen,32GB,128GB SSD,"16"" QHD",Windows 10,White,Metal,1.40kg,2 Years,113537
HP Pavilion 15,HP,AMD Ryzen 7 5800U,12GB,256GB SSD,"13.3"" FHD",Windows 11,Gray,Aluminum,1.40kg,2 Years,36347
Walton Tamarind EX10,Walton,Apple M2,12GB,512GB SSD,"16"" QHD",Chrome OS,Silver,Metal,1.25kg,2 Years,184251
Walton Tamarind EX10,Walton,Apple M2,16GB,1TB SSD,"15.6"" FHD",Chrome OS,Blue,Magnesium Alloy,1.25kg,2 Years,127306
Dell Inspiron 14,Dell,Apple M1,32GB,256GB SSD,"16"" QHD",Chrome OS,Blue,Metal,0.99kg,3 Years,151780
Apple MacBook Air M2,Apple,AMD Ryzen 7 5800U,32GB,128GB SSD,"15.6"" FHD",Windows 11,White,Carbon Fiber,0.99kg,1 Year,102449
MSI GF63 Thin,MSI,AMD Ryzen 7 5800U,16GB,512GB SSD,"16"" QHD",Windows 10,White,Plastic,0.99kg,2 Years,174888
Lenovo IdeaPad Slim 3,Lenovo,Intel Core i7 13th Gen,4GB,512GB SSD,"16"" QHD",Windows 10,Black,Plastic,1.75kg,1 Year,196468
Dell XPS 13,Dell,AMD Ryzen 7 5800U,32GB,256GB SSD,"13.3"" FHD",Windows 10,White,Aluminum,1.25kg,3 Years,224312
Walton Tamarind EX10,Walton,Intel Core i3 11th Gen,16GB,512GB SSD,"14"" FHD",Chrome OS,Silver,Metal,0.99kg,3 Years,91717
HP Pavilion 15,HP,Intel Core i7 13th Gen,16GB,256GB SSD,"17"" FHD",Windows 10,Silver,Magnesium Alloy,1.75kg,3 Years,163987
Lenovo IdeaPad Slim 3,Lenovo,Apple M2,16GB,1TB SSD,"17"" FHD",macOS Ventura,Blue,Magnesium Alloy,1.75kg,1 Year,56179
Walton Prelude N41,Walton,Intel Core i5 12th Gen,8GB,1TB SSD,"14"" FHD",Windows 11,Black,Magnesium Alloy,0.99kg,3 Years,54448
HP Victus 15,HP,Apple M2,32GB,512GB SSD,"16"" QHD",Windows 11,Blue,Metal,2.00kg,3 Years,172421
Apple MacBook Air M1,Apple,Intel Core i7 13th Gen,4GB,128GB SSD,"15.6"" FHD",macOS Ventura,Black,Magnesium Alloy,1.25kg,2 Years,101321
HP Pavilion 15,HP,Intel Core i5 12th Gen,4GB,512GB SSD,"13.3"" FHD",Windows 11,Blue,Plastic,1.75kg,2 Years,232401
Walton Prelude N41,Walton,Intel Core i7 13th Gen,12GB,128GB SSD,"16"" QHD",Windows 10,Gray,Carbon Fiber,1.40kg,3 Years,140154
Walton Tamarind EX10,Walton,AMD Ryzen 5 5500U,16GB,512GB SSD,"15.6"" FHD",Chrome OS,Gray,Plastic,1.75kg,1 Year,166719
Dell XPS 13,Dell,Intel Core i7 13th Gen,16GB,512GB SSD,"17"" FHD",Windows 10,Black,Carbon Fiber,1.75kg,1 Year,215751
HP Pavilion 15,HP,AMD Ryzen 7 5800U,12GB,512GB SSD,"14"" FHD",Chrome OS,Blue,Plastic,2.00kg,1 Year,35992
Walton Prelude N41,Walton,Intel Core i3 11th Gen,8GB,1TB SSD,"14"" FHD",Windows 10,White,Carbon Fiber,1.75kg,2 Years,226442
Walton Prelude N41,Walton,Intel Core i3 11th Gen,8GB,1TB SSD,"14"" FHD",Windows 11,White,Plastic,1.75kg,3 Years,49367
Dell XPS 13,Dell,AMD Ryzen 5 5500U,8GB,1TB SSD,"14"" FHD",macOS Ventura,White,Magnesium Alloy,1.40kg,1 Year,198625
Acer Aspire 5,Acer,Apple M1,32GB,256GB SSD,"14"" FHD",macOS Ventura,Blue,Aluminum,1.40kg,2 Years,54590
HP Victus 15,HP,Intel Core i3 11th Gen,4GB,256GB SSD,"13.3"" FHD",Chrome OS,Blue,Plastic,1.75kg,3 Years,134845
MSI GF63 Thin,MSI,Intel Core i9 13th Gen,8GB,256GB SSD,"15.6"" FHD",Windows 10,Silver,Magnesium Alloy,1.25kg,2 Years,239162
Apple MacBook Air M1,Apple,AMD Ryzen 7 5800U,32GB,512GB SSD,"17"" FHD",Windows 10,Gray,Carbon Fiber,1.25kg,3 Years,83894
Apple MacBook Air M2,Apple,Apple M2,16GB,1TB SSD,"15.6"" FHD",Chrome OS,Black,Plastic,1.25kg,2 Years,192505
Walton Prelude N41,Walton,Intel Core i9 13th Gen,16GB,256GB SSD,"13.3"" FHD",macOS Ventura,White,Carbon Fiber,1.75kg,3 Years,100830
LG Gram 14,LG,Intel Core i3 11th Gen,16GB,256GB SSD,"15.6"" FHD",Windows 10,Gray,Metal,0.99kg,1 Year,87554
Apple MacBook Air M1,Apple,Apple M1,8GB,512GB SSD,"13.3"" FHD",Chrome OS,Silver,Metal,1.40kg,3 Years,35844
ASUS ROG Zephyrus G14,ASUS,Apple M2,16GB,128GB SSD,"16"" QHD",Windows 10,Blue,Carbon Fiber,0.99kg,1 Year,90464
Walton Prelude N41,Walton,Apple M2,12GB,128GB SSD,"13.3"" FHD",Windows 10,Gray,Aluminum,1.40kg,1 Year,193574
ASUS ROG Zephyrus G14,ASUS,Intel Core i9 13th Gen,8GB,128GB SSD,"15.6"" FHD",macOS Ventura,Gray,Metal,1.75kg,3 Years,185489
Dell Inspiron 14,Dell,Intel Core i7 13th Gen,8GB,256GB SSD,"15.6"" FHD",Chrome OS,Silver,Metal,1.75kg,3 Years,128164
Dell Inspiron 14,Dell,Apple M2,12GB,512GB SSD,"15.6"" FHD",Chrome OS,Silver,Magnesium Alloy,2.00kg,1 Year,230195
MSI GF63 Thin,MSI,Intel Core i5 12th Gen,12GB,256GB SSD,"15.6"" FHD",Chrome OS,Gray,Magnesium Alloy,2.00kg,3 Years,115478
Dell XPS 13,Dell,Intel Core i7 13th Gen,32GB,256GB SSD,"13.3"" FHD",Windows 10,Gray,Carbon Fiber,2.00kg,3 Years,138803
Dell Inspiron 14,Dell,Intel Core i7 13th Gen,16GB,128GB SSD,"15.6"" FHD",Windows 10,Gray,Plastic,1.25kg,1 Year,69341
Dell Inspiron 14,Dell,Intel Core i9 13th Gen,8GB,512GB SSD,"16"" QHD",macOS Ventura,Silver,Carbon Fiber,2.00kg,1 Year,150435
Acer Aspire 5,Acer,AMD Ryzen 7 5800U,16GB,512GB SSD,"13.3"" FHD",Windows 11,Gray,Carbon Fiber,1.40kg,2 Years,82461
Walton Tamarind EX10,Walton,AMD Ryzen 7 5800U,32GB,256GB SSD,"16"" QHD",Windows 10,Black,Carbon Fiber,1.40kg,1 Year,139076
Lenovo IdeaPad Slim 3,Lenovo,Intel Core i3 11th Gen,16GB,128GB SSD,"14"" FHD",Windows 11,Gray,Magnesium Alloy,2.00kg,2 Years,151317
LG Gram 14,LG,Apple M2,32GB,128GB SSD,"13.3"" FHD",macOS Ventura,Blue,Aluminum,2.00kg,1 Year,186748
ASUS ROG Zephyrus G14,ASUS,Intel Core i9 13th Gen,32GB,512GB SSD,"17"" FHD",macOS Ventura,Gray,Metal,1.40kg,2 Years,133824
HP Victus 15,HP,Intel Core i3 11th Gen,4GB,256GB SSD,"15.6"" FHD",Windows 11,Gray,Plastic,1.75kg,2 Years,207413
ASUS VivoBook 15,ASUS,Apple M1,12GB,128GB SSD,"17"" FHD",Windows 10,Blue,Metal,2.00kg,3 Years,86762
Dell XPS 13,Dell,Intel Core i3 11th Gen,4GB,128GB SSD,"13.3"" FHD",Windows 11,White,Aluminum,0.99kg,3 Years,159315
ASUS ROG Zephyrus G14,ASUS,Intel Core i7 13th Gen,4GB,256GB SSD,"14"" FHD",macOS Ventura,Silver,Aluminum,1.25kg,3 Years,194060
Apple MacBook Pro M2,Apple,Intel Core i5 12th Gen,32GB,256GB SSD,"16"" QHD",Windows 11,Gray,Metal,1.75kg,2 Years,211098
Apple MacBook Air M1,Apple,AMD Ryzen 7 5800U,4GB,1TB SSD,"17"" FHD",macOS Ventura,Black,Carbon Fiber,2.00kg,3 Years,247106
Dell XPS 13,Dell,Apple M1,32GB,512GB SSD,"15.6"" FHD",Chrome OS,Blue,Aluminum,1.25kg,3 Years,230239
Walton Tamarind EX10,Walton,Intel Core i7 13th Gen,16GB,1TB SSD,"13.3"" FHD",Windows 11,Blue,Magnesium Alloy,2.00kg,3 Years,139997
HP Victus 15,HP,Intel Core i7 13th Gen,32GB,512GB SSD,"14"" FHD",macOS Ventura,Blue,Aluminum,2.00kg,1 Year,231778
Apple MacBook Air M1,Apple,Apple M1,32GB,128GB SSD,"15.6"" FHD",Chrome OS,Silver,Plastic,0.99kg,2 Years,229937
Apple MacBook Pro M2,Apple,Intel Core i5 12th Gen,4GB,128GB SSD,"13.3"" FHD",Chrome OS,Silver,Aluminum,1.75kg,1 Year,79970
Apple MacBook Air M1,Apple,Intel Core i9 13th Gen,32GB,256GB SSD,"17"" FHD",macOS Ventura,Gray,Metal,0.99kg,1 Year,50322
Acer Aspire 5,Acer,AMD Ryzen 7 5800U,4GB,512GB SSD,"17"" FHD",Chrome OS,Gray,Aluminum,2.00kg,1 Year,248093
Walton Prelude N41,Walton,Apple M1,4GB,256GB SSD,"16"" QHD",Windows 10,Silver,Aluminum,1.40kg,1 Year,91516
ASUS VivoBook 15,ASUS,Intel Core i3 11th Gen,12GB,256GB SSD,"13.3"" FHD",macOS Ventura,Gray,Aluminum,0.99kg,1 Year,228482
HP Pavilion 15,HP,Apple M1,16GB,1TB SSD,"17"" FHD",Windows 11,Blue,Carbon Fiber,1.75kg,2 Years,229559
Walton Tamarind EX10,Walton,Apple M2,12GB,512GB SSD,"14"" FHD",Windows 10,Silver,Carbon Fiber,2.00kg,2 Years,191745
LG Gram 14,LG,Intel Core i5 12th Gen,12GB,128GB SSD,"17"" FHD",Windows 11,White,Aluminum,1.40kg,2 Years,155862
Apple MacBook Air M2,Apple,Intel Core i9 13th Gen,4GB,128GB SSD,"16"" QHD",macOS Ventura,Gray,Magnesium Alloy,0.99kg,3 Years,104502
Apple MacBook Pro M2,Apple,Apple M2,16GB,512GB SSD,"14"" FHD",Chrome OS,Black,Metal,1.25kg,1 Year,106852
Walton Prelude N41,Walton,Apple M1,4GB,512GB SSD,"14"" FHD",Windows 10,Blue,Magnesium Alloy,0.99kg,1 Year,200363
Walton Tamarind EX10,Walton,Intel Core i5 12th Gen,16GB,1TB SSD,"16"" QHD",Windows 10,Blue,Carbon Fiber,0.99kg,1 Year,229787
Walton Prelude N41,Walton,Intel Core i7 13th Gen,12GB,128GB SSD,"16"" QHD",Windows 11,Blue,Aluminum,2.00kg,2 Years,86544
LG Gram 14,LG,Apple M1,12GB,1TB SSD,"17"" FHD",Windows 10,Blue,Carbon Fiber,2.00kg,2 Years,186867
Lenovo IdeaPad Slim 3,Lenovo,Intel Core i9 13th Gen,8GB,512GB SSD,"16"" QHD",Windows 11,Silver,Magnesium Alloy,1.25kg,3 Years,244518
Apple MacBook Air M2,Apple,Apple M1,16GB,128GB SSD,"14"" FHD",Windows 11,Blue,Aluminum,2.00kg,1 Year,220143
Dell XPS 13,Dell,Intel Core i9 13th Gen,12GB,128GB SSD,"14"" FHD",Chrome OS,Silver,Carbon Fiber,0.99kg,3 Years,67545
Apple MacBook Air M2,Apple,AMD Ryzen 5 5500U,8GB,1TB SSD,"14"" FHD",macOS Ventura,Silver,Plastic,1.75kg,2 Years,108452
Apple MacBook Air M2,Apple,Apple M2,8GB,128GB SSD,"14"" FHD",Chrome OS,Black,Metal,1.40kg,1 Year,177628
HP Pavilion 15,HP,Intel Core i9 13th Gen,16GB,256GB SSD,"17"" FHD",Windows 11,Blue,Aluminum,0.99kg,3 Years,139043
Acer Aspire 5,Acer,Intel Core i5 12th Gen,4GB,128GB SSD,"13.3"" FHD",Windows 11,Blue,Plastic,1.40kg,2 Years,164119
Dell XPS 13,Dell,Apple M1,8GB,512GB SSD,"17"" FHD",Windows 10,Silver,Aluminum,1.40kg,3 Years,147211
ASUS ROG Zephyrus G14,ASUS,AMD Ryzen 7 5800U,16GB,128GB SSD,"13.3"" FHD",Windows 11,White,Aluminum,1.40kg,3 Years,249943
MSI GF63 Thin,MSI,Intel Core i7 13th Gen,12GB,256GB SSD,"17"" FHD",Windows 10,Blue,Plastic,2.00kg,2 Years,60632
LG Gram 14,LG,AMD Ryzen 7 5800U,32GB,512GB SSD,"16"" QHD",Windows 10,Gray,Carbon Fiber,2.00kg,1 Year,235847
Dell Inspiron 14,Dell,AMD Ryzen 7 5800U,4GB,512GB SSD,"14"" FHD",macOS Ventura,Silver,Aluminum,2.00kg,2 Years,145382
Acer Aspire 5,Acer,Intel Core i3 11th Gen,12GB,512GB SSD,"14"" FHD",macOS Ventura,White,Metal,1.25kg,3 Years,223127
Dell XPS 13,Dell,AMD Ryzen 5 5500U,8GB,512GB SSD,"16"" QHD",Chrome OS,Black,Aluminum,2.00kg,3 Years,38591
ASUS ROG Zephyrus G14,ASUS,Apple M2,16GB,512GB SSD,"14"" FHD",Windows 10,White,Plastic,0.99kg,3 Years,213722
LG Gram 14,LG,Apple M1,32GB,512GB SSD,"13.3"" FHD",Windows 11,Silver,Metal,1.75kg,3 Years,74181
Apple MacBook Air M1,Apple,Intel Core i7 13th Gen,32GB,128GB SSD,"14"" FHD",Windows 11,Blue,Carbon Fiber,2.00kg,1 Year,145151
HP Pavilion 15,HP,Apple M1,32GB,512GB SSD,"14"" FHD",macOS Ventura,Black,Magnesium Alloy,1.40kg,2 Years,107565
Walton Tamarind EX10,Walton,Intel Core i9 13th Gen,12GB,256GB SSD,"15.6"" FHD",macOS Ventura,Gray,Magnesium Alloy,1.40kg,2 Years,157059
Walton Prelude N41,Walton,Intel Core i7 13th Gen,16GB,128GB SSD,"17"" FHD",Chrome OS,Black,Aluminum,1.25kg,2 Years,40992
ASUS ROG Zephyrus G14,ASUS,Apple M2,12GB,512GB SSD,"17"" FHD",Chrome OS,Gray,Plastic,0.99kg,2 Years,179484
Apple MacBook Pro M2,Apple,Apple M2,8GB,1TB SSD,"13.3"" FHD",Windows 10,Blue,Metal,1.40kg,3 Years,227409
Walton Prelude N41,Walton,Intel Core i5 12th Gen,16GB,256GB SSD,"15.6"" FHD",Windows 11,White,Metal,1.75kg,1 Year,244806
Apple MacBook Pro M2,Apple,AMD Ryzen 7 5800U,16GB,128GB SSD,"13.3"" FHD",Windows 10,Gray,Magnesium Alloy,0.99kg,1 Year,198007
Dell Inspiron 14,Dell,AMD Ryzen 7 5800U,4GB,512GB SSD,"13.3"" FHD",Windows 11,Black,Plastic,1.75kg,3 Years,222023
HP Pavilion 15,HP,Apple M1,4GB,256GB SSD,"17"" FHD",Chrome OS,Silver,Aluminum,1.25kg,2 Years,170900
Apple MacBook Air M2,Apple,Intel Core i3 11th Gen,32GB,128GB SSD,"14"" FHD",macOS Ventura,Gray,Aluminum,1.40kg,2 Years,51888
Walton Prelude N41,Walton,Apple M1,4GB,512GB SSD,"17"" FHD",Chrome OS,Blue,Plastic,1.40kg,2 Years,142250
Apple MacBook Pro M2,Apple,Apple M2,4GB,128GB SSD,"15.6"" FHD",macOS Ventura,Silver,Aluminum,1.25kg,1 Year,170625
MSI GF63 Thin,MSI,Apple M1,32GB,256GB SSD,"16"" QHD",Windows 11,Gray,Magnesium Alloy,0.99kg,3 Years,248723
HP Pavilion 15,HP,Intel Core i7 13th Gen,16GB,128GB SSD,"14"" FHD",Chrome OS,Blue,Aluminum,1.25kg,2 Years,192372
Acer Aspire 5,Acer,AMD Ryzen 5 5500U,4GB,512GB SSD,"17"" FHD",Chrome OS,Blue,Carbon Fiber,1.25kg,3 Years,111409
Dell XPS 13,Dell,AMD Ryzen 5 5500U,32GB,128GB SSD,"17"" FHD",Chrome OS,Blue,Carbon Fiber,1.25kg,1 Year,61282
ASUS VivoBook 15,ASUS,Intel Core i3 11th Gen,16GB,128GB SSD,"17"" FHD",Windows 10,Black,Magnesium Alloy,1.25kg,3 Years,193530
Walton Tamarind EX10,Walton,Apple M1,12GB,1TB SSD,"13.3"" FHD",Windows 11,Silver,Plastic,0.99kg,3 Years,187724
Apple MacBook Air M2,Apple,AMD Ryzen 5 5500U,4GB,512GB SSD,"15.6"" FHD",Windows 11,Silver,Metal,2.00kg,1 Year,71445
Apple MacBook Pro M2,Apple,AMD Ryzen 5 5500U,12GB,512GB SSD,"16"" QHD",Chrome OS,Gray,Carbon Fiber,1.75kg,2 Years,68769
Apple MacBook Air M1,Apple,Apple M1,12GB,512GB SSD,"13.3"" FHD",Chrome OS,Gray,Carbon Fiber,0.99kg,2 Years,207776
Dell Inspiron 14,Dell,Intel Core i3 11th Gen,4GB,1TB SSD,"16"" QHD",Chrome OS,White,Magnesium Alloy,2.00kg,2 Years,218567
ASUS ROG Zephyrus G14,ASUS,Apple M2,8GB,512GB SSD,"16"" QHD",macOS Ventura,White,Plastic,1.25kg,1 Year,190470
Apple MacBook Air M1,Apple,Intel Core i9 13th Gen,12GB,512GB SSD,"17"" FHD",Windows 10,White,Aluminum,2.00kg,1 Year,181734
Walton Prelude N41,Walton,Apple M2,32GB,128GB SSD,"13.3"" FHD",Windows 11,Black,Carbon Fiber,0.99kg,2 Years,203200
HP Victus 15,HP,AMD Ryzen 7 5800U,16GB,1TB SSD,"15.6"" FHD",Windows 10,White,Carbon Fiber,1.75kg,1 Year,117953
Dell XPS 13,Dell,AMD Ryzen 7 5800U,8GB,128GB SSD,"14"" FHD",Windows 10,Blue,Metal,1.25kg,3 Years,144639
Dell Inspiron 14,Dell,Apple M2,16GB,1TB SSD,"13.3"" FHD",Windows 11,Silver,Metal,2.00kg,1 Year,198951
Walton Tamarind EX10,Walton,Apple M2,16GB,256GB SSD,"16"" QHD",Windows 11,Black,Plastic,2.00kg,3 Years,141745
Walton Prelude N41,Walton,Apple M1,32GB,256GB SSD,"13.3"" FHD",Windows 11,Black,Carbon Fiber,1.25kg,3 Years,94291
Walton Tamarind EX10,Walton,Intel Core i3 11th Gen,16GB,128GB SSD,"16"" QHD",Windows 11,Gray,Plastic,2.00kg,1 Year,148749
HP Victus 15,HP,Intel Core i9 13th Gen,16GB,1TB SSD,"17"" FHD",macOS Ventura,White,Metal,0.99kg,2 Years,202629
HP Pavilion 15,HP,Intel Core i5 12th Gen,12GB,1TB SSD,"14"" FHD",macOS Ventura,White,Carbon Fiber,1.75kg,3 Years,153856
MSI GF63 Thin,MSI,Intel Core i9 13th Gen,12GB,256GB SSD,"13.3"" FHD",Windows 10,Blue,Aluminum,2.00kg,1 Year,236783
HP Pavilion 15,HP,Intel Core i9 13th Gen,12GB,512GB SSD,"15.6"" FHD",Windows 11,Black,Plastic,2.00kg,2 Years,186094
Dell Inspiron 14,Dell,Apple M1,32GB,256GB SSD,"15.6"" FHD",Chrome OS,Gray,Plastic,1.25kg,1 Year,223444
Acer Aspire 5,Acer,AMD Ryzen 5 5500U,4GB,256GB SSD,"17"" FHD",Windows 10,White,Magnesium Alloy,1.25kg,3 Years,71765
LG Gram 14,LG,AMD Ryzen 7 5800U,4GB,1TB SSD,"17"" FHD",Windows 10,Blue,Magnesium Alloy,0.99kg,3 Years,124443
Lenovo IdeaPad Slim 3,Lenovo,Intel Core i7 13th Gen,8GB,1TB SSD,"15.6"" FHD",Chrome OS,Black,Metal,2.00kg,3 Years,182419
Dell Inspiron 14,Dell,Intel Core i5 12th Gen,12GB,512GB SSD,"15.6"" FHD",Windows 11,Blue,Plastic,1.75kg,2 Years,242830
HP Victus 15,HP,Apple M2,32GB,128GB SSD,"13.3"" FHD",Chrome OS,Black,Plastic,0.99kg,2 Years,65456
Lenovo IdeaPad Slim 3,Lenovo,Intel Core i7 13th Gen,12GB,1TB SSD,"16"" QHD",macOS Ventura,Black,Magnesium Alloy,1.75kg,1 Year,200734
HP Victus 15,HP,Intel Core i9 13th Gen,16GB,128GB SSD,"15.6"" FHD",Chrome OS,Gray,Magnesium Alloy,2.00kg,2 Years,37408
Lenovo IdeaPad Slim 3,Lenovo,AMD Ryzen 7 5800U,16GB,1TB SSD,"14"" FHD",Windows 10,Black,Metal,1.25kg,1 Year,241115
Lenovo IdeaPad Slim 3,Lenovo,Intel Core i7 13th Gen,32GB,128GB SSD,"17"" FHD",macOS Ventura,Blue,Aluminum,1.75kg,2 Years,177358
HP Victus 15,HP,Apple M1,12GB,1TB SSD,"13.3"" FHD",Windows 10,Silver,Plastic,1.25kg,1 Year,86964
ASUS VivoBook 15,ASUS,Intel Core i7 13th Gen,32GB,128GB SSD,"17"" FHD",Chrome OS,Silver,Carbon Fiber,0.99kg,1 Year,242498
LG Gram 14,LG,Intel Core i9 13th Gen,4GB,512GB SSD,"16"" QHD",Windows 10,Black,Metal,1.75kg,2 Years,174918
Walton Prelude N41,Walton,AMD Ryzen 7 5800U,4GB,1TB SSD,"16"" QHD",Windows 10,Gray,Carbon Fiber,0.99kg,3 Years,130192
Apple MacBook Pro M2,Apple,AMD Ryzen 7 5800U,12GB,1TB SSD,"14"" FHD",Windows 11,Black,Plastic,0.99kg,2 Years,97013
Lenovo IdeaPad Slim 3,Lenovo,Apple M2,12GB,128GB SSD,"15.6"" FHD",Windows 11,Gray,Magnesium Alloy,1.25kg,3 Years,163488
LG Gram 14,LG,AMD Ryzen 7 5800U,16GB,1TB SSD,"15.6"" FHD",macOS Ventura,Black,Carbon Fiber,1.75kg,3 Years,184914
Dell XPS 13,Dell,Apple M1,4GB,1TB SSD,"16"" QHD",Windows 11,Gray,Carbon Fiber,2.00kg,1 Year,61173
HP Victus 15,HP,Apple M2,8GB,512GB SSD,"17"" FHD",macOS Ventura,Silver,Aluminum,1.75kg,1 Year,140330
MSI GF63 Thin,MSI,Apple M2,12GB,128GB SSD,"15.6"" FHD",Windows 11,Gray,Plastic,1.75kg,3 Years,108501
HP Victus 15,HP,Intel Core i7 13th Gen,4GB,256GB SSD,"14"" FHD",Windows 11,Blue,Metal,1.75kg,3 Years,99303
Walton Tamarind EX10,Walton,Intel Core i9 13th Gen,12GB,128GB SSD,"14"" FHD",Windows 10,Black,Metal,1.25kg,3 Years,156311
Dell XPS 13,Dell,Apple M1,16GB,128GB SSD,"16"" QHD",Chrome OS,Gray,Plastic,1.25kg,1 Year,146504
Walton Prelude N41,Walton,Intel Core i5 12th Gen,16GB,1TB SSD,"17"" FHD",macOS Ventura,Black,Magnesium Alloy,2.00kg,1 Year,108763
Walton Prelude N41,Walton,Apple M1,12GB,1TB SSD,"14"" FHD",Windows 10,Gray,Plastic,0.99kg,3 Years,231303
MSI GF63 Thin,MSI,Apple M1,8GB,256GB SSD,"14"" FHD",Windows 10,Black,Metal,1.25kg,2 Years,189147
Walton Prelude N41,Walton,Intel Core i5 12th Gen,4GB,256GB SSD,"13.3"" FHD",Chrome OS,Silver,Plastic,1.40kg,1 Year,92855
Apple MacBook Pro M2,Apple,Intel Core i3 11th Gen,12GB,256GB SSD,"13.3"" FHD",macOS Ventura,Gray,Metal,1.75kg,2 Years,39259
Walton Tamarind EX10,Walton,Apple M1,12GB,128GB SSD,"13.3"" FHD",Windows 10,White,Aluminum,0.99kg,1 Year,112117
Apple MacBook Air M1,Apple,AMD Ryzen 5 5500U,4GB,256GB SSD,"15.6"" FHD",Windows 10,Gray,Aluminum,1.75kg,2 Years,48341
LG Gram 14,LG,Intel Core i7 13th Gen,4GB,256GB SSD,"16"" QHD",macOS Ventura,Gray,Magnesium Alloy,0.99kg,1 Year,138390
Apple MacBook Pro M2,Apple,Intel Core i9 13th Gen,8GB,256GB SSD,"14"" FHD",Chrome OS,Black,Carbon Fiber,0.99kg,2 Years,164503
ASUS ROG Zephyrus G14,ASUS,Intel Core i7 13th Gen,12GB,512GB SSD,"16"" QHD",Chrome OS,Blue,Metal,1.25kg,1 Year,76266
Apple MacBook Air M2,Apple,Intel Core i5 12th Gen,8GB,1TB SSD,"15.6"" FHD",Windows 11,Blue,Plastic,1.25kg,3 Years,118673
Apple MacBook Air M2,Apple,AMD Ryzen 7 5800U,32GB,1TB SSD,"14"" FHD",Windows 11,Gray,Metal,1.40kg,3 Years,201968
ASUS ROG Zephyrus G14,ASUS,Intel Core i5 12th Gen,8GB,1TB SSD,"17"" FHD",Chrome OS,White,Metal,1.25kg,1 Year,97060
Dell Inspiron 14,Dell,Apple M2,4GB,1TB SSD,"15.6"" FHD",macOS Ventura,White,Plastic,1.40kg,1 Year,135810
LG Gram 14,LG,Intel Core i9 13th Gen,8GB,256GB SSD,"16"" QHD",macOS Ventura,Black,Metal,2.00kg,2 Years,213307
ASUS ROG Zephyrus G14,ASUS,Intel Core i5 12th Gen,12GB,512GB SSD,"13.3"" FHD",Chrome OS,Black,Aluminum,1.75kg,3 Years,127657
Walton Tamarind EX10,Walton,Intel Core i9 13th Gen,32GB,1TB SSD,"16"" QHD",macOS Ventura,Blue,Aluminum,0.99kg,3 Years,246117
Lenovo IdeaPad Slim 3,Lenovo,Intel Core i5 12th Gen,8GB,256GB SSD,"14"" FHD",Windows 10,Blue,Aluminum,2.00kg,2 Years,153189
Apple MacBook Pro M2,Apple,Apple M1,16GB,1TB SSD,"16"" QHD",Windows 11,Black,Metal,0.99kg,3 Years,116247
HP Victus 15,HP,Apple M2,8GB,256GB SSD,"15.6"" FHD",Windows 11,Black,Aluminum,1.40kg,2 Years,226325
Walton Prelude N41,Walton,Apple M1,4GB,1TB SSD,"17"" FHD",Windows 10,White,Aluminum,1.40kg,1 Year,66469
Acer Aspire 5,Acer,Intel Core i7 13th Gen,16GB,1TB SSD,"13.3"" FHD",Windows 11,Black,Magnesium Alloy,1.40kg,1 Year,232009
ASUS VivoBook 15,ASUS,Apple M2,4GB,512GB SSD,"15.6"" FHD",Windows 10,Silver,Carbon Fiber,2.00kg,2 Years,137391
Acer Aspire 5,Acer,AMD Ryzen 5 5500U,4GB,128GB SSD,"16"" QHD",Windows 10,White,Magnesium Alloy,1.75kg,1 Year,90742
Dell XPS 13,Dell,AMD Ryzen 7 5800U,8GB,512GB SSD,"16"" QHD",Windows 11,Blue,Metal,0.99kg,2 Years,49288
