instruct,answer,Conditions,Offers
Suggest a Dell laptop with 12GB RAM and 1TB SSD.,"Name: Dell ExpertBook 4076, Category: General Use, Price: 105815 BDT, Color: White, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 12GB RAM, 1TB SSD",Pre-Owned,Free Backpack
Suggest a Acer laptop with 12GB RAM and 256GB SSD.,"Name: Acer ExpertBook 4077, Category: General Use, Price: 104969 BDT, Color: Silver, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 256GB SSD",Pre-Owned,Free Gaming Mouse
Suggest a LG laptop with 8GB RAM and 128GB SSD.,"Name: LG ExpertBook 4078, Category: General Use, Price: 93610 BDT, Color: White, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 8GB RAM, 128GB SSD",Brand New,"Cash Offer: ৳18,000 discount"
Suggest a MSI laptop with 4GB RAM and 128GB SSD.,"Name: MSI ExpertBook 4079, Category: General Use, Price: 127640 BDT, Color: Silver, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 4GB RAM, 128GB SSD",Pre-Owned,"Cash Offer: ৳18,000 discount"
Suggest a Lenovo laptop with 12GB RAM and 512GB SSD.,"Name: Lenovo ExpertBook 4080, Category: General Use, Price: 47316 BDT, Color: Silver, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 12GB RAM, 512GB SSD",Brand New,0% EMI on selected cards
Suggest a Acer laptop with 16GB RAM and 512GB SSD.,"Name: Acer ExpertBook 4081, Category: General Use, Price: 87243 BDT, Color: Gray, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 16GB RAM, 512GB SSD",Brand New,"Cash Offer: ৳24,000 discount"
Suggest a Dell laptop with 4GB RAM and 128GB SSD.,"Name: Dell ExpertBook 4082, Category: General Use, Price: 145884 BDT, Color: Gray, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 4GB RAM, 128GB SSD",Pre-Owned,Free Travel Pouch
Suggest a LG laptop with 4GB RAM and 1TB SSD.,"Name: LG ExpertBook 4083, Category: General Use, Price: 114183 BDT, Color: White, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 4GB RAM, 1TB SSD",Pre-Owned,0% EMI or ৳4000 Discount
Suggest a HP laptop with 4GB RAM and 256GB SSD.,"Name: HP ExpertBook 4084, Category: General Use, Price: 107996 BDT, Color: Silver, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 4GB RAM, 256GB SSD",Brand New,No discount
Suggest a MSI laptop with 16GB RAM and 512GB SSD.,"Name: MSI ExpertBook 4085, Category: General Use, Price: 55285 BDT, Color: Gray, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 512GB SSD",Pre-Owned,Cashback ৳2000
Suggest a ASUS laptop with 4GB RAM and 1TB SSD.,"Name: ASUS ExpertBook 4086, Category: General Use, Price: 81051 BDT, Color: White, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 4GB RAM, 1TB SSD",Pre-Owned,0% EMI or ৳4000 Discount
Suggest a LG laptop with 16GB RAM and 512GB SSD.,"Name: LG ExpertBook 4087, Category: General Use, Price: 71654 BDT, Color: Gray, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 16GB RAM, 512GB SSD",Brand New,Free Backpack
Suggest a LG laptop with 4GB RAM and 256GB SSD.,"Name: LG ExpertBook 4088, Category: General Use, Price: 124838 BDT, Color: Silver, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 4GB RAM, 256GB SSD",Pre-Owned,Free Travel Pouch
Suggest a MSI laptop with 4GB RAM and 128GB SSD.,"Name: MSI ExpertBook 4089, Category: General Use, Price: 73473 BDT, Color: Gray, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 4GB RAM, 128GB SSD",Pre-Owned,Free Delivery
Suggest a Dell laptop with 12GB RAM and 1TB SSD.,"Name: Dell ExpertBook 4090, Category: General Use, Price: 82946 BDT, Color: Gray, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 12GB RAM, 1TB SSD",Pre-Owned,Free Gaming Mouse
Suggest a Acer laptop with 4GB RAM and 256GB SSD.,"Name: Acer ExpertBook 4091, Category: General Use, Price: 103685 BDT, Color: Gray, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 4GB RAM, 256GB SSD",Pre-Owned,0% EMI on selected cards
Suggest a MSI laptop with 12GB RAM and 256GB SSD.,"Name: MSI ExpertBook 4092, Category: General Use, Price: 134382 BDT, Color: Gray, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 256GB SSD",Pre-Owned,"Cash Offer: ৳20,000 discount"
Suggest a MSI laptop with 12GB RAM and 512GB SSD.,"Name: MSI ExpertBook 4093, Category: General Use, Price: 140142 BDT, Color: Gray, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 512GB SSD",Brand New,Discount ৳1500
Suggest a LG laptop with 12GB RAM and 128GB SSD.,"Name: LG ExpertBook 4094, Category: General Use, Price: 95423 BDT, Color: Gray, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 12GB RAM, 128GB SSD",Brand New,"Cash Offer: ৳20,000 discount"
Suggest a Dell laptop with 12GB RAM and 256GB SSD.,"Name: Dell ExpertBook 4095, Category: General Use, Price: 67942 BDT, Color: Black, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 12GB RAM, 256GB SSD",Pre-Owned,"Cash Offer: ৳24,000 discount"
Suggest a Lenovo laptop with 8GB RAM and 256GB SSD.,"Name: Lenovo ExpertBook 4096, Category: General Use, Price: 124166 BDT, Color: Gray, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 8GB RAM, 256GB SSD",Pre-Owned,Battery Replacement Support
Suggest a Lenovo laptop with 4GB RAM and 256GB SSD.,"Name: Lenovo ExpertBook 4097, Category: General Use, Price: 139254 BDT, Color: Gray, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 4GB RAM, 256GB SSD",Brand New,Free Gaming Mouse
Suggest a MSI laptop with 16GB RAM and 128GB SSD.,"Name: MSI ExpertBook 4098, Category: General Use, Price: 145449 BDT, Color: Black, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 128GB SSD",Pre-Owned,Free Gaming Mouse
Suggest a LG laptop with 12GB RAM and 128GB SSD.,"Name: LG ExpertBook 4099, Category: General Use, Price: 109809 BDT, Color: White, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 12GB RAM, 128GB SSD",Brand New,Student Discount Available
Suggest a Lenovo laptop with 4GB RAM and 128GB SSD.,"Name: Lenovo ExpertBook 4100, Category: General Use, Price: 84923 BDT, Color: White, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 4GB RAM, 128GB SSD",Brand New,Up to 5% Discount
Suggest a LG laptop with 4GB RAM and 128GB SSD.,"Name: LG ExpertBook 4101, Category: General Use, Price: 62551 BDT, Color: White, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 4GB RAM, 128GB SSD",Pre-Owned,0% EMI on selected cards
Suggest a Lenovo laptop with 8GB RAM and 512GB SSD.,"Name: Lenovo ExpertBook 4102, Category: General Use, Price: 83546 BDT, Color: Black, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 8GB RAM, 512GB SSD",Brand New,Free Travel Pouch
Suggest a MSI laptop with 12GB RAM and 256GB SSD.,"Name: MSI ExpertBook 4103, Category: General Use, Price: 108462 BDT, Color: Silver, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 256GB SSD",Pre-Owned,Free Gaming Mouse
Suggest a Acer laptop with 4GB RAM and 1TB SSD.,"Name: Acer ExpertBook 4104, Category: General Use, Price: 143030 BDT, Color: Silver, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 4GB RAM, 1TB SSD",Pre-Owned,Up to 5% Discount
Suggest a MSI laptop with 16GB RAM and 512GB SSD.,"Name: MSI ExpertBook 4105, Category: General Use, Price: 90709 BDT, Color: Gray, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 16GB RAM, 512GB SSD",Pre-Owned,Student Discount Available
Suggest a Apple laptop with 16GB RAM and 128GB SSD.,"Name: Apple ExpertBook 4106, Category: General Use, Price: 75969 BDT, Color: Silver, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 16GB RAM, 128GB SSD",Pre-Owned,Free Backpack
Suggest a Acer laptop with 12GB RAM and 1TB SSD.,"Name: Acer ExpertBook 4107, Category: General Use, Price: 49970 BDT, Color: White, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 12GB RAM, 1TB SSD",Pre-Owned,No discount
Suggest a Lenovo laptop with 12GB RAM and 256GB SSD.,"Name: Lenovo ExpertBook 4108, Category: General Use, Price: 122280 BDT, Color: Black, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 256GB SSD",Brand New,Discount ৳1500
Suggest a ASUS laptop with 8GB RAM and 256GB SSD.,"Name: ASUS ExpertBook 4109, Category: General Use, Price: 107648 BDT, Color: White, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 256GB SSD",Brand New,Student Discount Available
Suggest a MSI laptop with 16GB RAM and 128GB SSD.,"Name: MSI ExpertBook 4110, Category: General Use, Price: 60454 BDT, Color: Black, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 16GB RAM, 128GB SSD",Brand New,Free Backpack
Suggest a HP laptop with 8GB RAM and 256GB SSD.,"Name: HP ExpertBook 4111, Category: General Use, Price: 79911 BDT, Color: Silver, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 8GB RAM, 256GB SSD",Pre-Owned,0% EMI or ৳4000 Discount
Suggest a MSI laptop with 8GB RAM and 1TB SSD.,"Name: MSI ExpertBook 4112, Category: General Use, Price: 91576 BDT, Color: White, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 8GB RAM, 1TB SSD",Pre-Owned,"Cash Offer: ৳18,000 discount"
Suggest a HP laptop with 8GB RAM and 1TB SSD.,"Name: HP ExpertBook 4113, Category: General Use, Price: 133026 BDT, Color: Black, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 8GB RAM, 1TB SSD",Pre-Owned,Student Discount Available
Suggest a MSI laptop with 4GB RAM and 1TB SSD.,"Name: MSI ExpertBook 4114, Category: General Use, Price: 67014 BDT, Color: Silver, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 4GB RAM, 1TB SSD",Brand New,No discount
Suggest a MSI laptop with 4GB RAM and 128GB SSD.,"Name: MSI ExpertBook 4115, Category: General Use, Price: 62751 BDT, Color: Black, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 4GB RAM, 128GB SSD",Brand New,No discount
Suggest a Lenovo laptop with 8GB RAM and 1TB SSD.,"Name: Lenovo ExpertBook 4116, Category: General Use, Price: 90547 BDT, Color: Gray, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 1TB SSD",Pre-Owned,Free Laptop Bag
Suggest a HP laptop with 12GB RAM and 256GB SSD.,"Name: HP ExpertBook 4117, Category: General Use, Price: 57180 BDT, Color: White, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 12GB RAM, 256GB SSD",Pre-Owned,No discount
Suggest a Lenovo laptop with 16GB RAM and 1TB SSD.,"Name: Lenovo ExpertBook 4118, Category: General Use, Price: 59304 BDT, Color: Gray, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 16GB RAM, 1TB SSD",Pre-Owned,Free Travel Pouch
Suggest a Apple laptop with 8GB RAM and 256GB SSD.,"Name: Apple ExpertBook 4119, Category: General Use, Price: 47881 BDT, Color: Gray, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 256GB SSD",Brand New,Battery Replacement Support
Suggest a Lenovo laptop with 4GB RAM and 256GB SSD.,"Name: Lenovo ExpertBook 4120, Category: General Use, Price: 139711 BDT, Color: Black, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 4GB RAM, 256GB SSD",Brand New,"Cash Offer: ৳24,000 discount"
Suggest a Lenovo laptop with 16GB RAM and 1TB SSD.,"Name: Lenovo ExpertBook 4121, Category: General Use, Price: 83479 BDT, Color: Gray, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 16GB RAM, 1TB SSD",Pre-Owned,Free Backpack
Suggest a HP laptop with 4GB RAM and 1TB SSD.,"Name: HP ExpertBook 4122, Category: General Use, Price: 122881 BDT, Color: Black, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 4GB RAM, 1TB SSD",Brand New,0% EMI or ৳4000 Discount
Suggest a LG laptop with 12GB RAM and 256GB SSD.,"Name: LG ExpertBook 4123, Category: General Use, Price: 130048 BDT, Color: Black, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 256GB SSD",Pre-Owned,Up to 5% Discount
Suggest a Apple laptop with 4GB RAM and 128GB SSD.,"Name: Apple ExpertBook 4124, Category: General Use, Price: 87018 BDT, Color: Silver, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 4GB RAM, 128GB SSD",Pre-Owned,Free Mouse Pad
Suggest a Dell laptop with 12GB RAM and 128GB SSD.,"Name: Dell ExpertBook 4125, Category: General Use, Price: 57742 BDT, Color: Black, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 12GB RAM, 128GB SSD",Pre-Owned,Student Discount Available
Suggest a Apple laptop with 8GB RAM and 512GB SSD.,"Name: Apple ExpertBook 4126, Category: General Use, Price: 46796 BDT, Color: Gray, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 512GB SSD",Brand New,"Cash Offer: ৳20,000 discount"
Suggest a Dell laptop with 4GB RAM and 512GB SSD.,"Name: Dell ExpertBook 4127, Category: General Use, Price: 121535 BDT, Color: Silver, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 4GB RAM, 512GB SSD",Pre-Owned,Free Backpack
Suggest a ASUS laptop with 16GB RAM and 128GB SSD.,"Name: ASUS ExpertBook 4128, Category: General Use, Price: 103776 BDT, Color: Gray, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 16GB RAM, 128GB SSD",Pre-Owned,0% EMI on selected cards
Suggest a MSI laptop with 4GB RAM and 512GB SSD.,"Name: MSI ExpertBook 4129, Category: General Use, Price: 105267 BDT, Color: Black, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 4GB RAM, 512GB SSD",Brand New,Free Backpack
Suggest a Apple laptop with 16GB RAM and 128GB SSD.,"Name: Apple ExpertBook 4130, Category: General Use, Price: 86155 BDT, Color: White, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 128GB SSD",Pre-Owned,Student Discount Available
Suggest a HP laptop with 12GB RAM and 128GB SSD.,"Name: HP ExpertBook 4131, Category: General Use, Price: 67311 BDT, Color: Gray, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 12GB RAM, 128GB SSD",Pre-Owned,Free Travel Pouch
Suggest a Apple laptop with 4GB RAM and 128GB SSD.,"Name: Apple ExpertBook 4132, Category: General Use, Price: 57550 BDT, Color: White, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 4GB RAM, 128GB SSD",Brand New,EMI available (6 months)
Suggest a LG laptop with 16GB RAM and 512GB SSD.,"Name: LG ExpertBook 4133, Category: General Use, Price: 85637 BDT, Color: White, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 16GB RAM, 512GB SSD",Brand New,0% EMI on selected cards
Suggest a HP laptop with 12GB RAM and 128GB SSD.,"Name: HP ExpertBook 4134, Category: General Use, Price: 100782 BDT, Color: White, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 128GB SSD",Pre-Owned,Free Mouse Pad
Suggest a Dell laptop with 8GB RAM and 128GB SSD.,"Name: Dell ExpertBook 4135, Category: General Use, Price: 122208 BDT, Color: Silver, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 8GB RAM, 128GB SSD",Pre-Owned,Free Gaming Mouse
Suggest a MSI laptop with 4GB RAM and 256GB SSD.,"Name: MSI ExpertBook 4136, Category: General Use, Price: 95852 BDT, Color: White, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 4GB RAM, 256GB SSD",Brand New,Free Mouse Pad
Suggest a Lenovo laptop with 16GB RAM and 128GB SSD.,"Name: Lenovo ExpertBook 4137, Category: General Use, Price: 149011 BDT, Color: Silver, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 16GB RAM, 128GB SSD",Pre-Owned,Free Mouse Pad
Suggest a Lenovo laptop with 12GB RAM and 256GB SSD.,"Name: Lenovo ExpertBook 4138, Category: General Use, Price: 88786 BDT, Color: Silver, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 256GB SSD",Brand New,"Cash Offer: ৳24,000 discount"
Suggest a Lenovo laptop with 4GB RAM and 256GB SSD.,"Name: Lenovo ExpertBook 4139, Category: General Use, Price: 136405 BDT, Color: Black, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 4GB RAM, 256GB SSD",Brand New,Up to 5% Discount
Suggest a Lenovo laptop with 8GB RAM and 128GB SSD.,"Name: Lenovo ExpertBook 4140, Category: General Use, Price: 68845 BDT, Color: Gray, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 8GB RAM, 128GB SSD",Brand New,Discount ৳1500
Suggest a Apple laptop with 12GB RAM and 512GB SSD.,"Name: Apple ExpertBook 4141, Category: General Use, Price: 66558 BDT, Color: White, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 12GB RAM, 512GB SSD",Brand New,EMI available (6 months)
Suggest a LG laptop with 16GB RAM and 128GB SSD.,"Name: LG ExpertBook 4142, Category: General Use, Price: 45682 BDT, Color: Gray, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 128GB SSD",Brand New,Cashback ৳2000
Suggest a Acer laptop with 12GB RAM and 1TB SSD.,"Name: Acer ExpertBook 4143, Category: General Use, Price: 79158 BDT, Color: White, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 1TB SSD",Pre-Owned,Free Mouse Pad
Suggest a HP laptop with 12GB RAM and 256GB SSD.,"Name: HP ExpertBook 4144, Category: General Use, Price: 91134 BDT, Color: White, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 256GB SSD",Brand New,Free Travel Pouch
Suggest a Dell laptop with 16GB RAM and 1TB SSD.,"Name: Dell ExpertBook 4145, Category: General Use, Price: 85110 BDT, Color: Silver, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 16GB RAM, 1TB SSD",Pre-Owned,Battery Replacement Support
Suggest a HP laptop with 16GB RAM and 128GB SSD.,"Name: HP ExpertBook 4146, Category: General Use, Price: 80224 BDT, Color: White, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 128GB SSD",Brand New,"Cash Offer: ৳20,000 discount"
Suggest a Lenovo laptop with 4GB RAM and 128GB SSD.,"Name: Lenovo ExpertBook 4147, Category: General Use, Price: 93545 BDT, Color: Gray, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 4GB RAM, 128GB SSD",Pre-Owned,EMI available (6 months)
Suggest a HP laptop with 12GB RAM and 512GB SSD.,"Name: HP ExpertBook 4148, Category: General Use, Price: 70796 BDT, Color: Gray, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 12GB RAM, 512GB SSD",Pre-Owned,No discount
Suggest a HP laptop with 8GB RAM and 512GB SSD.,"Name: HP ExpertBook 4149, Category: General Use, Price: 134944 BDT, Color: Silver, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 8GB RAM, 512GB SSD",Pre-Owned,Free Mouse Pad
Suggest a MSI laptop with 8GB RAM and 1TB SSD.,"Name: MSI ExpertBook 4150, Category: General Use, Price: 133888 BDT, Color: Black, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 8GB RAM, 1TB SSD",Pre-Owned,Discount ৳1500
Suggest a Lenovo laptop with 12GB RAM and 128GB SSD.,"Name: Lenovo ExpertBook 4151, Category: General Use, Price: 76902 BDT, Color: Gray, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 128GB SSD",Brand New,Free Delivery
Suggest a HP laptop with 4GB RAM and 1TB SSD.,"Name: HP ExpertBook 4152, Category: General Use, Price: 90760 BDT, Color: Silver, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 4GB RAM, 1TB SSD",Brand New,EMI available (6 months)
Suggest a Acer laptop with 4GB RAM and 256GB SSD.,"Name: Acer ExpertBook 4153, Category: General Use, Price: 93751 BDT, Color: White, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 4GB RAM, 256GB SSD",Brand New,Student Discount Available
Suggest a MSI laptop with 12GB RAM and 256GB SSD.,"Name: MSI ExpertBook 4154, Category: General Use, Price: 57130 BDT, Color: Gray, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 12GB RAM, 256GB SSD",Brand New,"Cash Offer: ৳24,000 discount"
Suggest a Apple laptop with 4GB RAM and 256GB SSD.,"Name: Apple ExpertBook 4155, Category: General Use, Price: 139269 BDT, Color: White, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 4GB RAM, 256GB SSD",Brand New,Free Laptop Bag
Suggest a HP laptop with 8GB RAM and 256GB SSD.,"Name: HP ExpertBook 4156, Category: General Use, Price: 53320 BDT, Color: Silver, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 256GB SSD",Brand New,Free Mouse Pad
Suggest a ASUS laptop with 12GB RAM and 256GB SSD.,"Name: ASUS ExpertBook 4157, Category: General Use, Price: 63120 BDT, Color: Gray, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 12GB RAM, 256GB SSD",Brand New,"Cash Offer: ৳18,000 discount"
Suggest a LG laptop with 8GB RAM and 256GB SSD.,"Name: LG ExpertBook 4158, Category: General Use, Price: 111236 BDT, Color: White, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 256GB SSD",Pre-Owned,Free Gaming Mouse
Suggest a Apple laptop with 12GB RAM and 256GB SSD.,"Name: Apple ExpertBook 4159, Category: General Use, Price: 46993 BDT, Color: White, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 12GB RAM, 256GB SSD",Pre-Owned,"Cash Offer: ৳24,000 discount"
Suggest a LG laptop with 12GB RAM and 256GB SSD.,"Name: LG ExpertBook 4160, Category: General Use, Price: 75405 BDT, Color: Gray, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 256GB SSD",Brand New,EMI available (6 months)
Suggest a Lenovo laptop with 4GB RAM and 512GB SSD.,"Name: Lenovo ExpertBook 4161, Category: General Use, Price: 132848 BDT, Color: Black, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 4GB RAM, 512GB SSD",Brand New,"Cash Offer: ৳18,000 discount"
Suggest a MSI laptop with 8GB RAM and 256GB SSD.,"Name: MSI ExpertBook 4162, Category: General Use, Price: 45462 BDT, Color: Silver, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 256GB SSD",Pre-Owned,Student Discount Available
Suggest a Apple laptop with 16GB RAM and 1TB SSD.,"Name: Apple ExpertBook 4163, Category: General Use, Price: 54846 BDT, Color: White, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 1TB SSD",Brand New,0% EMI on selected cards
Suggest a Acer laptop with 12GB RAM and 512GB SSD.,"Name: Acer ExpertBook 4164, Category: General Use, Price: 84585 BDT, Color: Gray, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 12GB RAM, 512GB SSD",Brand New,Free Delivery
Suggest a ASUS laptop with 8GB RAM and 512GB SSD.,"Name: ASUS ExpertBook 4165, Category: General Use, Price: 148740 BDT, Color: Black, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 8GB RAM, 512GB SSD",Pre-Owned,Free Mouse Pad
Suggest a ASUS laptop with 4GB RAM and 256GB SSD.,"Name: ASUS ExpertBook 4166, Category: General Use, Price: 84501 BDT, Color: Silver, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 4GB RAM, 256GB SSD",Brand New,Cashback ৳2000
Suggest a Lenovo laptop with 12GB RAM and 256GB SSD.,"Name: Lenovo ExpertBook 4167, Category: General Use, Price: 67082 BDT, Color: Silver, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 12GB RAM, 256GB SSD",Pre-Owned,Discount ৳1500
